concurrency,repeat,batch_elapsed_ms,avg_indiv_ms,min_indiv_ms,max_indiv_ms,success_count,fail_count
1,1,7340.883,7339.686,7339.686,7339.686,1,0
1,2,3254.974,3254.705,3254.705,3254.705,1,0
1,3,4974.505,4974.315,4974.315,4974.315,1,0
1,4,7249.734,7249.534,7249.534,7249.534,1,0
1,5,4584.115,4583.775,4583.775,4583.775,1,0
1,6,7374.259,7374.115,7374.115,7374.115,1,0
1,7,4604.783,4604.626,4604.626,4604.626,1,0
1,8,3543.458,3543.332,3543.332,3543.332,1,0
1,9,4607.701,4607.497,4607.497,4607.497,1,0
1,10,4588.580,4588.164,4588.164,4588.164,1,0
5,1,7925.428,7585.378,7013.346,7925.265,5,0
5,2,8045.948,7355.615,6682.071,8035.815,5,0
5,3,7522.427,7119.041,6646.821,7516.049,5,0
5,4,6882.858,6230.095,5726.229,6876.889,5,0
5,5,7196.098,6427.017,5860.712,7192.087,5,0
5,6,7241.830,6417.915,6057.399,7241.590,5,0
5,7,6237.393,5852.327,5171.544,6237.307,5,0
5,8,8228.132,7690.211,6897.671,8227.826,5,0
5,9,7161.326,6292.653,5915.085,7161.048,5,0
5,10,6816.046,6278.901,5678.247,6811.642,5,0
10,1,8032.469,7526.015,6863.233,8023.627,10,0
10,2,6434.798,5870.214,5617.451,6434.548,10,0
10,3,7789.306,7463.008,6418.918,7777.257,10,0
10,4,8630.308,7873.927,7503.592,8627.924,10,0
10,5,7306.453,7110.021,6598.230,7294.844,10,0
10,6,7188.505,6507.688,5625.345,7179.673,10,0
10,7,6149.810,5699.790,5437.880,6149.618,10,0
10,8,4809.878,4785.011,4643.069,4803.522,10,0
10,9,8664.218,8304.870,7474.930,8664.155,10,0
10,10,8831.897,8039.872,7570.971,8825.894,10,0
20,1,6927.385,5895.840,5400.794,6926.019,20,0
20,2,6778.134,6548.859,5453.177,6765.866,20,0
20,3,7193.875,6859.941,6806.090,7193.774,20,0
20,4,6847.540,6059.660,5975.628,6843.940,20,0
20,5,7808.563,7570.306,6290.651,7798.869,20,0
20,6,6665.939,5607.729,5361.743,6661.367,20,0
20,7,7173.648,7106.001,6418.942,7156.273,20,0
20,8,6981.191,6788.782,5299.540,6969.460,20,0
20,9,7037.756,5811.058,5617.057,7035.368,20,0
20,10,6238.685,6039.161,5684.084,6218.444,20,0
