concurrency,repeat,batch_elapsed_ms,avg_indiv_ms,min_indiv_ms,max_indiv_ms,success_count,fail_count
50,1,6434.597,5509.935,5259.847,6432.779,50,0
50,2,7098.482,6664.351,6357.059,7053.292,50,0
50,3,7149.257,6652.693,5617.534,7112.820,50,0
50,4,6741.914,6347.043,5524.969,6694.829,50,0
50,5,7428.199,6845.156,6252.763,7397.699,50,0
50,6,7184.554,6606.706,6174.025,7167.037,50,0
50,7,6691.836,5680.787,5071.653,6674.726,50,0
50,8,7054.267,6657.324,5529.556,7013.939,50,0
50,9,7513.951,6548.058,6315.042,7513.828,50,0
50,10,7683.126,6490.282,6148.092,7682.938,50,0
70,1,7257.635,6597.427,6220.096,7215.677,70,0
70,2,8065.347,7639.130,6864.399,8018.739,70,0
70,3,7245.537,6430.755,6178.737,7186.468,70,0
70,4,7102.825,6402.415,5562.266,7063.162,70,0
70,5,7169.490,6507.339,5348.313,7101.609,70,0
70,6,6751.891,5851.912,5081.306,6727.899,70,0
70,7,6956.871,6342.606,5389.966,6946.166,70,0
70,8,7063.422,6407.847,5453.270,7025.427,70,0
70,9,7074.505,6433.436,5713.177,7051.072,70,0
70,10,6905.177,6291.248,5528.171,6862.471,70,0
100,1,7149.543,6212.214,5733.594,7125.313,100,0
100,2,6590.926,6196.644,5386.617,6554.072,100,0
100,3,8000.849,6766.059,6690.404,8000.726,100,0
100,4,8271.420,7600.467,6828.531,8221.468,100,0
100,5,7126.505,6383.879,5563.930,7073.599,100,0
100,6,7026.813,6201.952,5647.947,6981.571,100,0
100,7,6747.377,6268.104,5351.368,6695.445,100,0
100,8,7860.089,7247.524,6418.896,7823.801,100,0
100,9,7018.278,6387.406,5426.862,6949.582,100,0
100,10,7311.652,6524.681,6113.192,7265.832,100,0
