iteration,case,expected_result,actual_result,validated,tx_hash,elapsed_ms,fee_drops
1,MISMATCH,tecCRYPTOCONDITION_ERROR,tecCRYPTOCONDITION_ERROR,true,769CEAD781020A6EC72B7E9631929B80D0674D7C3A4BE610E20924EA410D63D1,5783,423
1,CONTROL,tesSUCCESS,tesSUCCESS,true,EFABE87B514A8173151E04EAEEF546E5B5FB2590C5795C86E443FFE8F29543A6,5789,423
2,MISMATCH,tecCRYPTOCONDITION_ERROR,tecCRYPTOCONDITION_ERROR,true,A35C647C2C979B5E58024873AC793261B822080DC0BE42C725D7522CCC76AF45,8428,423
2,CONTROL,tesSUCCESS,tesSUCCESS,true,B96E5FAA90A5AC8D604836FDA671053E948A44A85328D4EBDDFE7914D68FF08B,5794,423
3,MISMATCH,tecCRYPTOCONDITION_ERROR,tecCRYPTOCONDITION_ERROR,true,4705CE2DFE5EE64B1617E290A062D4CB3B4C709ECD4D61792784710720397FA6,7109,423
3,CONTROL,tesSUCCESS,tesSUCCESS,true,40EA1675B8B7DD5999504649E4FB664CBC34DEBDAFD7A6978963907E573955D8,5788,423
4,MISMATCH,tecCRYPTOCONDITION_ERROR,tecCRYPTOCONDITION_ERROR,true,27C61C60D2446B47DA51EAAD429B5AE7CF7E7DE80E02BF20423F91AD3225CEDA,5804,423
4,CONTROL,tesSUCCESS,tesSUCCESS,true,DC0D1559F795B2B0F6F10C64C313E8BEE6D348AE7EE51B4CD92EF8E2D724C4EA,7085,423
5,MISMATCH,tecCRYPTOCONDITION_ERROR,tecCRYPTOCONDITION_ERROR,true,43E675098D65CFFE7B6040BB0AA2184012F7459827A68CB61F7D216868DC9BF3,7134,423
5,CONTROL,tesSUCCESS,tesSUCCESS,true,AC389F0DF4D316AA2045B8EEE2A557961F4BDE3CC87A42DB822F28A05DABD35A,5798,423
