iteration,phase1_ms,create_ms,create_fee,finish_ms,finish_fee,memo_valid,vc_cid,escrow_hash
1,3509,5750,12,6905,423,true,bafkreietwumkrsgl3ejemv5q7pvugji6rhkklegbmjj2x4n26dscofre3i,FE5B8E47E5C8ECEEAC3A7A9BAA193A02BBFC737467EC1B67F974CF7D3AA53D4F
2,2830,5686,12,6929,423,true,bafkreiaw5zkjfd5o3ku5oclxk7nvyysix34xlnxtkxmk7conzuhpw4tmii,455C6C13394E38E9C9A613F7FD5E6A736474DD419A623105DCE7613BEE5133F0
3,3533,6890,12,5618,423,true,bafkreidgp6tqy3if25afcvpgzc4lnt6oydsuixzvtk4o5c3vaerkvjfqge,B33952A82BDCC73978A2EC35C7131ECDA603FB224A31B98C8347CF4A5AB7B04D
4,3371,5624,12,5616,423,true,bafkreigt36ch7quecwqmbicue3awzhpnmtbei72pjguh6rken37nnkwlri,E8E9E8435F29C2199F740CAC188A8FCD6B71D1ABA7F319A139E74D5F1D1AFD64
5,2995,6894,12,5614,423,true,bafkreibbmaadmq3vftyb6qoq4t7lfhck7wgwvrn55y46fw77ckf44fs7tu,363A0924AE9A22863A4A481ADF3BE48CF75F6C03A3A3DB618C1B3B1F0F9E3EAB
6,3296,5779,12,5640,423,true,bafkreihg2pe3xyzueo7lyoplgh5jsatkthy4ntu2widh4ysfiq4gnz4oz4,D50EE821804699BBE99A33B6FA6DC8A565D75D3887BD9FCE6D5630FC255CB7DD
7,3405,6913,12,5617,423,true,bafkreigzkbu2bm6tawlvlixzj2o32riectk6jm6xoxlbqkdwb2cu23ka74,B67CAACC3B0040755842B2E5AB7372F666844ADBF99708DC67043FD6644C7E08
8,3122,5607,12,6883,423,true,bafkreifvwztigxd33toxaja2cfydveevoimfcrbiot5yshtz3f7mua6na4,639FDE9E7C03956529541C985665CB5669F13EED0A0FF80D019596005CECCD02
9,2850,6877,12,6894,423,true,bafkreigl6tpw4n2z4c4k3sumb2hl4e6uxi735gkpzx6qbelourughvxy6a,1106BA41D34E2EE0318D190A8B070A56E3B58F7966B71446D2E0E07DF9764CE0
10,3440,5632,12,6883,423,true,bafkreietcmolbx5zrpw7bap7ec7aaqggupqc2vml6vyq52xt355dxw42cm,B33D7B07E5F9A909297D82503BB06A11DB6B9B59E96F4C401AB6122A92367086
11,2764,6916,12,5636,423,true,bafkreicvowatswglv2ipnoo4txq4s6lj4widf2jwd2gry6z66fgoxkh7xy,C893DDCBBA1FBB514E9EC756D3938F0CFB2FCB2CFB2FDBF4EE8B9F9819044C1B
12,3120,3044,12,6890,423,true,bafkreigimbb46lnyyhjdi7ynqg5tjs5faoclbqsq2bshglxjts6lbqzuvi,BA1B8D1C3F5281EEBFF574CACB04FEABBEABE79739CCA2A98C9CDAE9271B418B
13,3683,5639,12,6919,423,true,bafkreideurfv656f25czp5egatkr6i5372h2s574gcginwpcq5vdbhyohq,C330431948C8A80F9D69343AE32889F082F6E86CEA371ECF070E8CA1D39FA8A1
14,3136,6890,12,5728,423,true,bafkreig446jzymlugsd5qvzd23dyf3w5nv3dxqdq3qz7ivcxsl3i4lx2ym,F9E436787A5AC1E9706576DF64F115BCEB3C0BBA008B3AC07E30D7A288CAE49D
15,3000,5623,12,5616,423,true,bafkreihfztpfvk2floc7efj3o7rc5xmnty44iwbhhzteznq26wozn5fhsy,CDC5A412F39B9F64F652DBC7FFC0E34B2394B7066A56DC8EAD656438D4B68C22
16,3372,6891,12,6900,423,true,bafkreiblcbkqrt5xplvxek2km73b3ih6xfobwa75fbp76mvsqo24jg57au,0D0C94F18C4E5E86E9F584699905A939344DB68AA0788351A639F98556ECF57D
