scenario,iteration,eid,step1_dup,step2_doi,step3_sig,step4_escrow_hash,verdict,elapsed_ms
NORMAL,1,EVT-NORMAL-0001,false,true,true,6DFE22EF71C85D6763D697E6DC363EEC7DAB1DA8749B26FE82BACCD22443D0E5,CONDITION_MET,7454
NORMAL,2,EVT-NORMAL-0002,false,true,true,396F0153A58AF506E2C7159A16ED49A485DB156FC2F0385C9BF62E33E7B71090,CONDITION_MET,11744
NORMAL,3,EVT-NORMAL-0003,false,true,true,593B1B30083AC650443B2827A6608ACFDB1C004F02CB9BD4291E2774CF93720A,CONDITION_MET,9499
NORMAL,4,EVT-NORMAL-0004,false,true,true,8DC0F0BE2B1AFEAA980B7591FC9D77565B4ED4412E1C7E62C204E121EDC0C767,CONDITION_MET,5219
NORMAL,5,EVT-NORMAL-0005,false,true,true,E3A7D17F2F2D78919D657B49A2B363234E12839893FB70674F1909C98A0418F6,CONDITION_MET,7312
NORMAL,6,EVT-NORMAL-0006,false,true,true,BBF7177ABFC999F7105BBF357ECD2ECE94F2D89BAB6015332D1DCE82115859EF,CONDITION_MET,10702
NORMAL,7,EVT-NORMAL-0007,false,true,true,7B533D096C1EE33D95203FD52E2504B03CF71B7F0BC0B1A5177BFB8A134E4AC1,CONDITION_MET,7029
NORMAL,8,EVT-NORMAL-0008,false,true,true,95BD00408D85E02EBC9EC236DAFB92ED62121A4A4B366C024E6766E48F2E6F90,CONDITION_MET,10845
NORMAL,9,EVT-NORMAL-0009,false,true,true,3A83C389B94693F46E24F4D787AA3460524762B93E3A7BF032C288A6E6003CA1,CONDITION_MET,5492
NORMAL,10,EVT-NORMAL-0010,false,true,true,865D6CD64421935F500E1E690CFE9216CE9BFBD8ED73F18EAF84925586DEFBEA,CONDITION_MET,13291
DOI_FAIL,1,EVT-DOIFAIL-0001,false,false,false,,DOI_MISMATCH,903
DOI_FAIL,2,EVT-DOIFAIL-0002,false,false,false,,DOI_MISMATCH,1311
DOI_FAIL,3,EVT-DOIFAIL-0003,false,false,false,,DOI_MISMATCH,852
SIG_FAIL,1,EVT-SIGFAIL-0001,false,true,false,,SIG_INVALID,2471
SIG_FAIL,2,EVT-SIGFAIL-0002,false,true,false,,SIG_INVALID,3765
SIG_FAIL,3,EVT-SIGFAIL-0003,false,true,false,,SIG_INVALID,454
DUP_FAIL,1,EVT-NORMAL-0001,true,false,false,,DUPLICATE_REJECTED,0
DUP_FAIL,2,EVT-NORMAL-0001,true,false,false,,DUPLICATE_REJECTED,0
DUP_FAIL,3,EVT-NORMAL-0001,true,false,false,,DUPLICATE_REJECTED,0
