iteration,base_time_bytes,memo_time_bytes,base_cond_bytes,memo_cond_bytes,memo_overhead_time,memo_overhead_cond,condition_delta,memo_data_bytes,fee_drops
1,188,636,230,678,448,448,42,420,12
2,188,636,230,678,448,448,42,420,12
3,188,636,230,678,448,448,42,420,12
4,188,636,230,678,448,448,42,420,12
5,188,636,230,678,448,448,42,420,12
6,188,636,230,678,448,448,42,420,12
7,188,636,230,678,448,448,42,420,12
8,188,636,230,678,448,448,42,420,12
9,188,636,230,678,448,448,42,420,12
10,188,636,230,678,448,448,42,420,12
11,188,636,230,678,448,448,42,420,12
12,188,636,230,678,448,448,42,420,12
13,188,636,230,678,448,448,42,420,12
14,188,636,230,678,448,448,42,420,12
15,188,636,230,678,448,448,42,420,12
16,188,636,230,678,448,448,42,420,12
17,188,636,230,678,448,448,42,420,12
18,188,636,230,678,448,448,42,420,12
19,188,636,230,678,448,448,42,420,12
20,188,636,230,678,448,448,42,420,12
21,188,636,230,678,448,448,42,420,12
22,188,636,230,678,448,448,42,420,12
23,188,636,230,678,448,448,42,420,12
24,188,636,230,678,448,448,42,420,12
25,188,636,230,678,448,448,42,420,12
26,188,636,230,678,448,448,42,420,12
27,188,636,230,678,448,448,42,420,12
28,188,636,230,678,448,448,42,420,12
29,188,636,230,678,448,448,42,420,12
30,188,636,230,678,448,448,42,420,12
31,188,636,230,678,448,448,42,420,12
32,188,636,230,678,448,448,42,420,12
33,188,636,230,678,448,448,42,420,12
34,188,636,230,678,448,448,42,420,12
35,188,636,230,678,448,448,42,420,12
36,188,636,230,678,448,448,42,420,12
37,188,636,230,678,448,448,42,420,12
38,188,636,230,678,448,448,42,420,12
39,188,636,230,678,448,448,42,420,12
40,188,636,230,678,448,448,42,420,12
41,188,636,230,678,448,448,42,420,12
42,188,636,230,678,448,448,42,420,12
43,188,636,230,678,448,448,42,420,12
44,188,636,230,678,448,448,42,420,12
45,188,636,230,678,448,448,42,420,12
46,188,636,230,678,448,448,42,420,12
47,188,636,230,678,448,448,42,420,12
48,188,636,230,678,448,448,42,420,12
49,188,636,230,678,448,448,42,420,12
50,188,636,230,678,448,448,42,420,12
51,188,636,230,678,448,448,42,420,12
52,188,636,230,678,448,448,42,420,12
53,188,636,230,678,448,448,42,420,12
54,188,636,230,678,448,448,42,420,12
55,188,636,230,678,448,448,42,420,12
56,188,636,230,678,448,448,42,420,12
57,188,636,230,678,448,448,42,420,12
58,188,636,230,678,448,448,42,420,12
59,188,636,230,678,448,448,42,420,12
60,188,636,230,678,448,448,42,420,12
61,188,636,230,678,448,448,42,420,12
62,188,636,230,678,448,448,42,420,12
63,188,636,230,678,448,448,42,420,12
64,188,636,230,678,448,448,42,420,12
65,188,636,230,678,448,448,42,420,12
66,188,636,230,678,448,448,42,420,12
67,188,636,230,678,448,448,42,420,12
68,188,636,230,678,448,448,42,420,12
69,188,636,230,678,448,448,42,420,12
70,188,636,230,678,448,448,42,420,12
71,188,636,230,678,448,448,42,420,12
72,188,636,230,678,448,448,42,420,12
73,188,636,230,678,448,448,42,420,12
74,188,636,230,678,448,448,42,420,12
75,188,636,230,678,448,448,42,420,12
76,188,636,230,678,448,448,42,420,12
77,188,636,230,678,448,448,42,420,12
78,188,636,230,678,448,448,42,420,12
79,188,636,230,678,448,448,42,420,12
80,188,636,230,678,448,448,42,420,12
81,188,636,230,678,448,448,42,420,12
82,188,636,230,678,448,448,42,420,12
83,188,636,230,678,448,448,42,420,12
84,188,636,230,678,448,448,42,420,12
85,188,636,230,678,448,448,42,420,12
86,188,636,230,678,448,448,42,420,12
87,188,636,230,678,448,448,42,420,12
88,188,636,230,678,448,448,42,420,12
89,188,636,230,678,448,448,42,420,12
90,188,636,230,678,448,448,42,420,12
91,188,636,230,678,448,448,42,420,12
92,188,636,230,678,448,448,42,420,12
93,188,636,230,678,448,448,42,420,12
94,188,636,230,678,448,448,42,420,12
95,188,636,230,678,448,448,42,420,12
96,188,636,230,678,448,448,42,420,12
97,188,636,230,678,448,448,42,420,12
98,188,636,230,678,448,448,42,420,12
99,188,636,230,678,448,448,42,420,12
100,188,636,230,678,448,448,42,420,12
