iteration,mode,create_ms,create_fee_drops,cancel_ms,cancel_fee_drops,create_hash,cancel_hash
1,cancel,7159,12,6935,12,C80E32EFE21F67073FBEF327DBBBCDC17A5FA314C8684AFD21BEF0305E3A7929,2FE4936B6B0633D2BE96AA17B6662F7D60C93FE26F1B5B815FA797040F679D79
2,cancel,5622,12,4357,12,2104F8A7E449AA1B572A990D308E45E3FD4477E25ED877F4CBE1E5372D43394E,8244753B6308B5BC5B259B29E1E39514232B1B4B5A0E493A0B4556FE3BA37EA5
3,cancel,3483,12,5637,12,1A753D83F6C3AF5509A99E56D4B9A19ADC0E290288FC8EA7DD090A82C4777643,314914AFF594EC3D47717A031F0F2CEB7F26858765A49795D1354EE024A14872
4,cancel,3065,12,5767,12,75C05B031DFC3E5472AA6FD5F7E064FA941F3E43C3462EE41D6BBDDFB26C3764,A70220A0B4D7B46EEF31703AC50360E6E4FBDC694B47C734C00AF3AA61851E3D
5,cancel,6925,12,5629,12,7EFDE0905FBECC8A91E6610E0B1075FEBF61446F9682FF1B789CC1A00F0F7717,34AFB50F8FAF26D76A42085A1452E558C9D6D8824047FF5ABE38AB70B59865A0
6,cancel,5628,12,5630,12,8ED098F4DCF374D9AF7F121EECDF4E1725F80F3461B6F516C956A2EB9BC6B145,51F02121D66F177ADC1004E8253EAA49424FD2055F214A54F0F0C8F2DEA8AF60
7,cancel,5617,12,8199,12,343D981FF411B4133721B5BF7D370146728AB83B05B88339D4C5F8BEFD783A97,F628401548D8E9EFD05534D4DE075EDC374085DBEB304DCA93DEB6AC5EE51F25
8,cancel,5623,12,5615,12,816237270BFA47B911B2C7D64060CAFE3B903F4600A15FB9A4450375DFC67102,2E6C8AD919EE564E4C184FDD15982E548BB45CEDCE54E721C4D3C970563090C3
9,cancel,5813,12,5614,12,B28C765319C530CDC606DFCF65EEE0C47864120E5556BFC2AE79FD48678ECE00,B4FB412A11A2EBF3920D54C97586D7AECD3B2C66C4AFD8E91B66FD5F165B487D
10,cancel,6917,12,5581,12,17BA14D22946E677290102D5F9B1730D1112EEEB17C3A417B5707FC3D336AAED,0CB73C69A630C496B2BAE64868180B847D93F90AE5F96AE2FC0CCECB999E2E53
11,cancel,5623,12,5617,12,E46857B994DD0A6AA5C6A4EE93BA0B2114A2D3D6E137C5072A5A9D1B5B6F2BC1,0F671C38C87A46C22ADBFACAEC7CDA48381C343C0C9BF9B69044E458E7CDE971
12,cancel,5647,12,5614,12,7EE7A24A207A69CA3CA67FD7DDEF73FC7E908F2C07238E9558FFB1FE5FC523B4,7AB7A13EA0E2705CD9681B07AF7B7876BDCE1B3A0C4D155867BD95A849BC3E0D
13,cancel,5627,12,5631,12,66A54D6CC3C595C7CBB334B8171ECCC062D9F18838661593C2921080499007D4,65164AE8EBDAA3F5E11A6BC7C4CA1F80BAF0E0618B2DA0AF1FAD7A8B578DC841
14,cancel,6414,12,4400,12,14F574AFB86909C64B452AAFE52842511EEE2CC5CA0513BE77B2B7D980BD758B,28C574C14828EBFF9F9BBB16A2B7E6BCAC787244CFE2D4D0383CDE424FF5A4AA
15,cancel,5664,12,5649,12,A277AD92F5F3FDC3EAF1FF008C18850D8A5236E37259EF27541EC390669CA199,F486882C1939B4198B7C470A6E687497C55CBC61196D61F7EBB146A13BC04A3E
16,cancel,5743,12,5629,12,5CF4B6305457C771EB35CFE5E2C94160D8786C7E71712A3167FFA83344C5ACEE,EEF8B6C587B08AC5A0C84F6E08952F3972DD5468B4E499B3A6E1F77A5DE94998
17,cancel,6730,12,5654,12,9B4907F118C1DBF80C8960F4AED81B5199B942DF7814247460C5073900E0C070,E1409220263A6E61BA2B96F8FE1E7D85F3E1550B1D23E9AC4B8C0716DC206C54
18,cancel,5661,12,3050,12,FD5E412742C63ABE099453B523057580BB7007081CE93AD9DC3023641D9AD4DB,1C3EBEB2C737C9E047FC9F391736481A98D7803A52744E305170DEEBB5542E99
19,cancel,5643,12,5812,12,C1ACC26536861A16E677626948E3C50C3DD63225E2B3A8AE75251148F949EB04,FFB53BECA7383860076667F1359E1BE730F94E891C1FCF6FE36B1742F10EA34E
20,cancel,6378,12,5816,12,E4BB8CE35486A9C17780892F9F3418FD1C56EAEDB71CAD35AA4443625EE444CC,4431F6D6C4071091A22B96CB5AB28104A54DA1F048EA64DDB96CF9B8599DD231
21,cancel,5809,12,6916,12,0ABAFA0EC8F33780710F6A6E1E076B1EDB1C91E50C6DE62D87EA9D5326111118,7AACCAC617E5102E26139E062D82BD206646D5804ADBD0660172D5AC46708162
22,cancel,6912,12,6908,12,6EF876FDFD886FEACBA12068E93112E4D68C3309A32057F255D1BC7806FCD016,C5E67FFB9927639BC600EC28AA18561770F54963237B1E134137E9669E008F7C
23,cancel,6969,12,5619,12,1CBE457289468F2EF35413F72FD77FC01DC3CA30E35373DD52CB2CF30262C6B7,AC7D90748CD7D9209A05003498D2213D68BD36B03A4B5E16E0711AC37DC30CBB
