iteration,mode,create_ms,create_fee_drops,finish_ms,finish_fee_drops,create_hash,finish_hash
1,condition,6927,12,6270,423,DC3074D332105EA8BCA609DA3299D5571F733913CEC2D0889C4ECEDD28182862,2E53C6776FF40C9522E932E43DA1D46C77B73298F49996458E60ECDF31BFF460
2,condition,5620,12,6864,423,36D79F881767BDBF2A2B965D544DDAC9180E878F436931EBC26A1F146205963B,CB239206031AA3501D85246C5FD56A48B1A2131130158F8A3FE5EE1E4D1C59A0
3,condition,5590,12,6906,423,96A313DA52F68AA5D121E128B775D234291AA36EF8B5E5219CA8782B017C32A5,D1B501B770E0F74826D32DBDBCB77B2800A739605D4AC01D2C418A7EF6FD046E
4,condition,6898,12,5581,423,82B2167C80A575B55D631A541AC6A5E086A177990A7FB1C1128D06162EC89E16,8D57F858A8D51478D4F845FEF1E73E43530F9B85C94835D79BFB740D55B1BDEE
5,condition,6958,12,6850,423,81C6CE57F4DDF53DD41516545F8433BEFB8AD1A40ABC45C1F322F5F56F627BB4,42103CA9D578C224B7B530920EB1C1FE46D010E454484F48FF3F46202D5DA6D5
6,condition,5637,12,6877,423,62BC3EE7E4D2DC6497F53F7BC17A6ADD9377B8B010390056F7889F29DA7A4777,64CABC3F8D1DD6FC94E3F33AB400750BAF53F48B0B9FC913C3FACB397530AF6B
7,condition,5587,12,5693,423,C589F1A990C12D331FD0790F3ADCABAED597B0F95E13279999300049D821EF5A,251EC78A17D58017D944EFF6FADF6EEA7F95443D2BCA65D06AD80DDCA42428E8
8,condition,6874,12,5606,423,DB7AD6A3926A54D4291DDDE2E411FC6995E561F8B52293F857177CC2DD1D5FA5,934CC071B2BCE3CFDC997F39BB7E6BE0D1EBC5DD3197B8B9588A28158AF820B1
9,condition,6891,12,5597,423,7FD583FE5909E4648230C3020FA60B8CB35BB55D0F4365DD3C2118EE21FCFD6A,9E7E163EAAA862E06F3127ED0EF30DC8A84D97A51AC6EC5892007BCE2DA86CEA
10,condition,6889,12,5609,423,2A06B25F272D66CE02ABFC939044D940A7B7718D15C80ED9C96BD491E7E3AA4D,1F2231F2A583C92EBF607F3F42233055F65BC7BC8A18C123378F1FE924A7200E
11,condition,6892,12,5590,423,F61D6AE539E9325462BB401FF68997F448E1929F3F1554D795980349DD7A4190,3C547B82A14652877882EC4F941B2863B4695FA5C66CB9A79EFAD66E2EA3519A
12,condition,6821,12,5580,423,BB7AA30E13DB9E733DD780BC3F68262EB046BEB87AA5447BD98CBF8C5754B577,66A420518903AF5AF488C7E05C0EBB89FEE3A0ED9A54BA8FFA5022F71529EFAD
13,condition,6880,12,5586,423,9A889C85B8000BDA57421509CBE2E613D3A80ACC3B7953448531CE878665FF5A,42226BC105B4B45585BE0732E53F84FF1E9FDF993A38E8B8BAD8ED49D6E82C71
