iteration,success,usedDoi,eventDetected,crossrefApiMs,vcVerifyMs,oracleVerifyMs,policyVerifyMs,precheckMs,createMs,createFeeDrops,finishMs,finishFeeDrops,chainOnlyMs,totalFeeDrops,totalMs,errorMessage
1,true,"10.1038/nature12373",true,637,2.455,0.3389,0.1333,2.9272,5740,12,6829,423,12569,435,27035,""
2,true,"10.1126/science.1058040",true,829,0.3459,0.2561,0.0216,0.6236,5551,12,5546,423,11097,435,22410,""
3,true,"10.1371/journal.pone.0001636",true,602,0.4114,7.1688,0.0686,7.6488,5562,12,5571,423,11133,435,20215,""
4,true,"10.1016/j.cell.2015.04.044",true,605,0.3298,0.3689,0.0333,0.732,5564,12,5544,423,11108,435,23198,""
5,true,"10.1038/s41586-020-2649-2",true,610,0.3371,0.2195,0.0168,0.5734,5545,12,6991,423,12536,435,24610,""
6,true,"10.1145/3442188.3445922",true,592,0.3016,0.216,0.0181,0.5357,5557,12,5759,423,11316,435,18936,""
7,true,"10.1007/s10961-019-09768-3",true,615,0.2828,0.2365,0.0234,0.5427,5545,12,5726,423,11271,435,20339,""
8,true,"10.1016/j.respol.2009.07.002",true,624,0.2095,0.2714,0.0245,0.5054,5563,12,5599,423,11162,435,22321,""
9,true,"10.1287/isre.13.3.334.78",false,605,0.3085,0.1815,0.0161,0.5061,5568,12,5577,423,11145,435,23225,""
10,true,"10.1016/j.elerap.2007.02.001",true,608,1.5957,0.8705,0.0583,2.5245,5571,12,5579,423,11150,435,20251,""
11,true,"10.1038/nature12373",true,590,0.4927,0.3456,0.032,0.8703,5570,12,3028,423,8598,435,19673,""
12,true,"10.1126/science.1058040",true,792,0.2522,0.2565,0.0099,0.5186,5569,12,5690,423,11259,435,20591,""
13,true,"10.1371/journal.pone.0001636",true,647,0.2568,0.2269,0.0126,0.4963,5560,12,5592,423,11152,435,22358,""
14,true,"10.1016/j.cell.2015.04.044",true,606,0.2025,0.2298,0.0076,0.4399,5568,12,5571,423,11139,435,23256,""
15,true,"10.1038/s41586-020-2649-2",true,588,0.2405,0.237,0.0248,0.5023,5638,12,6844,423,12482,435,24533,""
16,true,"10.1145/3442188.3445922",true,602,0.3101,0.1778,0.0098,0.4977,5586,12,6854,423,12440,435,23560,""
17,true,"10.1007/s10961-019-09768-3",true,594,0.2047,0.1712,0.0087,0.3846,5575,12,6848,423,12423,435,23520,""
18,true,"10.1016/j.respol.2009.07.002",true,603,0.2527,0.1737,0.0134,0.4398,5560,12,5588,423,11148,435,23378,""
19,true,"10.1287/isre.13.3.334.78",false,596,0.3285,0.2423,0.0115,0.5823,5567,12,3017,423,8584,435,20685,""
20,true,"10.1016/j.elerap.2007.02.001",true,602,0.3466,0.4876,0.0221,0.8563,6857,12,6823,423,13680,435,22746,""
21,true,"10.1038/nature12373",true,605,0.2713,0.2737,0.0563,0.6013,5766,12,8143,423,13909,435,25012,""
22,true,"10.1126/science.1058040",true,804,1.0854,1.0205,0.167,2.2729,6848,12,5566,423,12414,435,23750,""
23,true,"10.1371/journal.pone.0001636",true,593,0.2212,0.1726,0.0114,0.4052,5559,12,5683,423,11242,435,22365,""
24,true,"10.1016/j.cell.2015.04.044",true,591,0.2418,0.2625,0.0161,0.5204,5594,12,5564,423,11158,435,23200,""
25,true,"10.1038/s41586-020-2649-2",true,606,0.2452,0.1761,0.0089,0.4302,5569,12,6867,423,12436,435,24626,""
26,true,"10.1145/3442188.3445922",true,599,0.2292,0.1842,0.0111,0.4245,5610,12,5599,423,11209,435,23450,""
27,true,"10.1007/s10961-019-09768-3",true,586,0.2117,0.1737,0.0106,0.396,5562,12,3022,423,8584,435,19704,""
28,true,"10.1016/j.respol.2009.07.002",true,619,0.2274,0.1978,0.0108,0.436,5564,12,6865,423,12429,435,21582,""
29,true,"10.1287/isre.13.3.334.78",false,596,0.2223,0.1747,0.0106,0.4076,5577,12,5568,423,11145,435,23259,""
30,true,"10.1016/j.elerap.2007.02.001",true,616,0.3221,0.2221,0.0118,0.556,6850,12,5590,423,12440,435,24556,""
31,true,"10.1038/nature12373",true,617,0.216,0.1733,0.0187,0.408,5447,12,3019,423,8466,435,19574,""
32,true,"10.1126/science.1058040",true,807,1.3615,0.355,0.0199,1.7364,5555,12,3015,423,8570,435,20949,""
33,true,"10.1371/journal.pone.0001636",true,601,0.3366,0.1905,0.0129,0.54,5562,12,5566,423,11128,435,24271,""
34,true,"10.1016/j.cell.2015.04.044",true,590,0.3315,0.1985,0.0107,0.5407,5565,12,5575,423,11140,435,20177,""
35,true,"10.1038/s41586-020-2649-2",true,602,0.2378,0.2218,0.022,0.4816,6848,12,5561,423,12409,435,24562,""
36,true,"10.1145/3442188.3445922",true,597,0.3769,0.3204,0.0161,0.7134,5557,12,5572,423,11129,435,23255,""
37,true,"10.1007/s10961-019-09768-3",true,611,0.2024,0.2395,0.0089,0.4508,5547,12,3012,423,8559,435,20725,""
38,true,"10.1016/j.respol.2009.07.002",true,607,0.2969,0.2483,0.0355,0.5807,5565,12,5568,423,11133,435,20262,""
39,true,"10.1287/isre.13.3.334.78",false,587,0.242,0.2051,0.0215,0.4686,5524,12,2964,423,8488,435,20577,""
40,true,"10.1016/j.elerap.2007.02.001",true,600,0.2539,0.2828,0.0139,0.5506,5571,12,5580,423,11151,435,24267,""
41,true,"10.1038/nature12373",true,593,0.3224,0.3592,0.0299,0.7115,6851,12,6844,423,13695,435,25813,""
42,true,"10.1126/science.1058040",true,842,0.2291,0.2474,0.013,0.4895,5570,12,5566,423,11136,435,19054,""
43,true,"10.1371/journal.pone.0001636",true,613,0.3478,0.3079,0.0289,0.6846,5570,12,5554,423,11124,435,20246,""
44,true,"10.1016/j.cell.2015.04.044",true,607,0.2025,0.1707,0.0088,0.382,6848,12,5583,423,12431,435,24514,""
45,true,"10.1038/s41586-020-2649-2",true,611,0.2161,0.2817,0.017,0.5148,6826,12,6845,423,13671,435,25777,""
46,true,"10.1145/3442188.3445922",true,608,0.2569,0.1666,0.009,0.4325,5560,12,6868,423,12428,435,23541,""
